1,place_order,Resource1,7,
2,check_availability,Resource5,10,
3,check_availability,Resource6,9,
4,place_order,Resource1,10,
5,place_order,Resource2,12,
6,check_availability,Resource7,11,
7,check_availability,Resource8,9,
8,pick_item,Resource6,12,
9,pick_item,Resource8,12,
10,check_availability,Resource5,13,
11,place_order,Resource1,15,
12,check_availability,Resource7,12,
13,place_order,Resource2,15,
14,pick_item,Resource6,13,
15,pick_item,Resource7,14,
16,pick_item,Resource8,15,
17,send_invoice,Resource3,20,
18,check_availability,Resource5,15,
19,check_availability,Resource6,15,
20,pack_items,Resource9,18,
21,send_invoice,Resource4,19,
22,pick_item,Resource7,16,
23,pack_items,Resource10,18,
24,place_order,Resource1,17,
25,check_availability,Resource5,16,
26,check_availability,Resource6,18,
27,pick_item,Resource8,18,
28,send_invoice,Resource2,23,
29,pick_item,Resource5,18,
30,pick_item,Resource7,18,
31,pack_items,Resource11,20,
32,place_order,Resource1,20,
33,check_availability,Resource5,21,
34,check_availability,Resource6,19,
35,pick_item,Resource7,18,
36,check_availability,Resource8,19,
37,store_package,Resource9,23,
38,store_package,Resource10,21,
39,pack_items,Resource12,21,
40,send_invoice,Resource4,25,
41,check_availability,Resource6,20,
42,pick_item,Resource7,21,
43,pick_item,Resource8,22,
44,send_invoice,Resource1,26,
45,place_order,Resource3,21,
46,pick_item,Resource6,22,
47,pack_items,Resource11,24,
48,receive_payment,Resource3,27,
49,pick_item,Resource5,22,
50,check_availability,Resource7,23,
51,store_package,Resource10,27,
52,store_package,Resource12,26,
53,start_route,Resource13,27,
54,check_availability,Resource5,24,
55,send_invoice,Resource2,27,
56,pick_item,Resource6,24,
57,pack_items,Resource9,29,
58,start_route,Resource14,28,
59,pick_item,Resource5,26,
60,pack_items,Resource11,30,
61,receive_payment,Resource4,30,
62,send_invoice,Resource1,33,
63,store_package,Resource12,31,
64,start_route,Resource15,31,
65,send_invoice,Resource2,33,
66,receive_payment,Resource3,33,
67,pack_items,Resource10,34,
68,load_package,Resource13,36,
69,start_route,Resource16,31,
70,load_package,Resource14,35,
71,store_package,Resource9,35,
72,receive_payment,Resource4,36,
73,store_package,Resource11,34,
74,load_package,Resource15,37,
75,load_package,Resource16,35,
76,start_route,Resource17,37,
77,receive_payment,Resource1,39,
78,receive_payment,Resource2,39,
79,place_order,Resource3,34,
80,receive_payment,Resource3,40,
81,check_availability,Resource5,35,
82,check_availability,Resource6,38,
83,store_package,Resource10,39,
84,start_route,Resource18,40,
85,pick_item,Resource5,39,
86,deliver_package,Resource14,40,
87,deliver_package,Resource16,39,
88,start_route,Resource19,41,
89,receive_payment,Resource4,42,
90,deliver_package,Resource13,40,
91,deliver_package,Resource15,44,
92,load_package,Resource17,42,
93,pick_item,Resource6,39,
94,send_invoice,Resource1,45,
95,place_order,Resource2,40,
96,pack_items,Resource9,44,
97,end_route,Resource16,45,
98,start_route,Resource20,44,
99,place_order,Resource2,42,
100,place_order,Resource3,43,
101,check_availability,Resource5,41,
102,check_availability,Resource6,41,
103,end_route,Resource13,45,
104,end_route,Resource14,44,
105,load_package,Resource18,46,
106,pick_item,Resource5,44,
107,pick_item,Resource6,42,
108,check_availability,Resource7,43,
109,check_availability,Resource8,43,
110,load_package,Resource19,47,
111,place_order,Resource2,45,
112,check_availability,Resource6,45,
113,deliver_package,Resource17,46,
114,check_availability,Resource7,45,
115,pick_item,Resource8,46,
116,place_order,Resource3,47,
117,pick_item,Resource5,47,
118,store_package,Resource9,50,
119,end_route,Resource14,49,
120,load_package,Resource15,50,
121,receive_payment,Resource1,50,
122,place_order,Resource2,48,
123,check_availability,Resource6,46,
124,check_availability,Resource7,48,
125,pick_item,Resource6,49,
126,pick_item,Resource8,47,
127,end_route,Resource13,53,
128,deliver_package,Resource16,49,
129,check_availability,Resource5,51,
130,check_availability,Resource8,49,
131,deliver_package,Resource17,52,
132,pick_item,Resource7,50,
133,check_availability,Resource6,51,
134,check_availability,Resource8,50,
135,end_route,Resource14,54,
136,pick_item,Resource7,53,
137,pick_item,Resource8,53,
138,deliver_package,Resource15,57,
139,start_route,Resource16,55,
140,place_order,Resource1,54,
141,pick_item,Resource5,54,
142,pick_item,Resource6,52,
143,pick_item,Resource6,55,
144,end_route,Resource17,58,
145,check_availability,Resource7,56,
146,check_availability,Resource8,56,
147,load_package,Resource13,62,
148,pick_item,Resource5,59,
149,pick_item,Resource6,57,
150,end_route,Resource14,64,
151,deliver_package,Resource13,68,
152,place_order,Resource1,66,
153,send_invoice,Resource2,69,
154,send_invoice,Resource3,69,
155,send_invoice,Resource4,68,
156,pack_items,Resource9,69,
157,pack_items,Resource10,67,
158,pack_items,Resource11,68,
159,pack_items,Resource12,69,
160,send_invoice,Resource1,72,
161,pack_items,Resource10,72,
