,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
404,405,place_order,Resource1,146,149,o30,,,
488,489,check_availability,Resource5,178,180,o30,o30-i0,,
489,490,check_availability,Resource6,178,179,o30,o30-i1,,
556,557,place_order,Resource2,206,208,o40,,,
569,570,pick_item,Resource5,210,212,o30,o30-i1,,
572,573,pick_item,Resource6,211,214,o30,o30-i0,,
579,580,send_invoice,Resource3,214,219,o30,,,
641,642,place_order,Resource2,234,235,o50,,,
657,658,check_availability,Resource6,238,242,o40,o40-i0,,
658,659,check_availability,Resource7,238,239,o40,o40-i1,,
694,695,pack_items,Resource9,245,249,o30,,o30-p1,
723,724,receive_payment,Resource3,251,255,o30,,,
774,775,place_order,Resource2,263,265,o69,,,
780,781,place_order,Resource2,265,269,o60,,,
781,782,check_availability,Resource5,265,269,o69,o69-i0,,
782,783,check_availability,Resource7,265,267,o69,o69-i1,,
787,788,check_availability,Resource6,266,267,o50,o50-i0,,
794,795,check_availability,Resource6,267,268,o50,o50-i1,,
800,801,pick_item,Resource6,268,269,o69,o69-i1,,
803,804,pick_item,Resource5,269,270,o69,o69-i0,,
806,807,pick_item,Resource5,270,271,o40,o40-i1,,
818,819,pick_item,Resource5,273,273,o40,o40-i0,,
822,823,pack_items,Resource12,274,280,o69,,o69-p1,
823,824,send_invoice,Resource2,275,282,o40,,,
825,826,send_invoice,Resource4,276,281,o69,,,
836,837,store_package,Resource12,280,285,o30,,o30-p1,
854,855,store_package,Resource10,286,291,o69,,o69-p1,
856,857,place_order,Resource4,287,289,o72,,,
862,863,check_availability,Resource6,288,290,o72,o72-i0,,
863,864,check_availability,Resource7,288,288,o72,o72-i1,,
866,867,pick_item,Resource5,289,292,o72,o72-i1,,
872,873,pick_item,Resource6,290,291,o72,o72-i0,,
879,880,start_route,Resource20,291,297,o69,,,o69-p1-r1
880,881,receive_payment,Resource1,292,296,o69,,,
890,891,place_order,Resource3,295,298,o76,,,
899,900,check_availability,Resource6,296,299,o76,o76-i0,,
900,901,check_availability,Resource8,296,299,o76,o76-i1,,
901,902,check_availability,Resource7,297,299,o60,o60-i0,,
903,904,check_availability,Resource5,298,300,o60,o60-i1,,
904,905,load_package,Resource18,298,305,o69,,,o69-p1-r1
905,906,pick_item,Resource6,299,300,o50,o50-i0,,
906,907,pick_item,Resource7,299,302,o50,o50-i1,,
918,919,send_invoice,Resource2,302,305,o50,,,
919,920,pick_item,Resource5,302,305,o76,o76-i0,,
920,921,pick_item,Resource7,302,304,o76,o76-i1,,
924,925,place_order,Resource3,304,307,o70,,,
929,930,send_invoice,Resource2,305,311,o72,,,
935,936,pack_items,Resource9,305,309,o40,,o40-p1,
937,938,pack_items,Resource11,305,311,o72,,o72-p1,
940,941,deliver_package,Resource15,305,311,o69,,,o69-p1-r1
947,948,send_invoice,Resource4,310,315,o76,,,
949,950,pack_items,Resource12,310,315,o76,,o76-p1,
953,954,failed_delivery,Resource15,311,315,o69,,,o69-p1-r1
955,956,receive_payment,Resource3,314,318,o40,,,
960,961,unload_package,Resource15,315,320,o69,,,o69-p1-r1
964,965,start_route,Resource13,316,319,o30,,,o30-p1-r1
966,967,receive_payment,Resource3,318,322,o72,,,
967,968,store_package,Resource9,319,324,o72,,o72-p1,
968,969,end_route,Resource13,320,324,o69,,,o69-p1-r1
969,970,place_order,Resource1,321,324,o81,,,
970,971,place_order,Resource4,321,323,o82,,,
972,973,store_package,Resource12,321,327,o76,,o76-p1,
973,974,start_route,Resource14,321,327,o69,,,o69-p1-r1
