,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
1752,1753,place_order,Resource2,563,565,o130,,,
1863,1864,check_availability,Resource5,595,596,o130,o130-i0,,
1864,1865,check_availability,Resource7,595,598,o130,o130-i1,,
1874,1875,place_order,Resource2,598,600,o140,,,
1995,1996,pick_item,Resource5,627,629,o130,o130-i0,,
2002,2003,pick_item,Resource5,629,632,o130,o130-i1,,
2006,2007,check_availability,Resource6,630,631,o140,o140-i0,,
2010,2011,check_availability,Resource6,631,632,o140,o140-i1,,
2013,2014,send_invoice,Resource2,632,637,o130,,,
2043,2044,place_order,Resource2,641,642,o150,,,
2110,2111,pick_item,Resource6,662,665,o140,o140-i0,,
2116,2117,pick_item,Resource5,663,666,o140,o140-i1,,
2118,2119,pack_items,Resource12,663,668,o130,,o130-p1,
2125,2126,send_invoice,Resource2,666,671,o140,,,
2135,2136,receive_payment,Resource1,668,673,o130,,,
2146,2147,check_availability,Resource6,673,675,o150,o150-i0,,
2147,2148,check_availability,Resource7,673,674,o150,o150-i1,,
2160,2161,place_order,Resource1,678,682,o160,,,
2222,2223,pack_items,Resource10,697,699,o140,,o140-p1,
2229,2230,store_package,Resource10,699,704,o130,,o130-p1,
2241,2242,receive_payment,Resource2,702,709,o140,,,
2249,2250,pick_item,Resource5,705,706,o150,o150-i1,,
2253,2254,pick_item,Resource5,706,707,o150,o150-i0,,
2256,2257,send_invoice,Resource1,707,713,o150,,,
2267,2268,check_availability,Resource5,710,710,o160,o160-i0,,
2268,2269,check_availability,Resource7,710,713,o160,o160-i1,,
2309,2310,place_order,Resource1,728,730,o170,,,
2325,2326,store_package,Resource10,734,739,o140,,o140-p1,
2330,2331,start_route,Resource15,735,740,o130,,,o130-p1-r1
2334,2335,place_order,Resource3,739,741,o177,,,
2335,2336,pack_items,Resource9,739,743,o150,,o150-p1,
2338,2339,check_availability,Resource5,740,742,o177,o177-i0,,
2339,2340,check_availability,Resource6,740,742,o177,o177-i1,,
2342,2343,pick_item,Resource7,741,744,o160,o160-i0,,
2346,2347,pick_item,Resource5,742,743,o177,o177-i0,,
2347,2348,pick_item,Resource6,742,743,o177,o177-i1,,
2348,2349,send_invoice,Resource1,743,748,o177,,,
2350,2351,receive_payment,Resource2,744,750,o150,,,
2351,2352,pick_item,Resource5,744,745,o160,o160-i1,,
2352,2353,send_invoice,Resource4,745,748,o160,,,
2354,2355,pack_items,Resource11,745,750,o177,,o177-p1,
2359,2360,receive_payment,Resource1,748,751,o177,,,
2365,2366,store_package,Resource9,750,755,o177,,o177-p1,
2385,2386,start_route,Resource20,755,760,o177,,,o177-p1-r1
2394,2395,check_availability,Resource5,760,763,o170,o170-i0,,
2395,2396,check_availability,Resource6,760,763,o170,o170-i1,,
2397,2398,load_package,Resource19,760,766,o177,,,o177-p1-r1
2405,2406,place_order,Resource1,766,767,o181,,,
2407,2408,deliver_package,Resource16,766,770,o177,,,o177-p1-r1
2409,2410,check_availability,Resource5,767,771,o181,o181-i0,,
2410,2411,check_availability,Resource6,767,770,o181,o181-i1,,
2411,2412,place_order,Resource1,769,771,o182,,,
2412,2413,pick_item,Resource6,770,770,o181,o181-i1,,
2413,2414,check_availability,Resource7,770,772,o182,o182-i0,,
2414,2415,check_availability,Resource8,770,772,o182,o182-i1,,
2416,2417,start_route,Resource14,770,776,o140,,,o140-p1-r1
2417,2418,failed_delivery,Resource16,770,775,o177,,,o177-p1-r1
2418,2419,pick_item,Resource5,771,774,o181,o181-i0,,
2419,2420,load_package,Resource17,771,775,o130,,,o130-p1-r1
2422,2423,pick_item,Resource6,772,774,o182,o182-i0,,
2423,2424,pick_item,Resource7,772,773,o182,o182-i1,,
2424,2425,place_order,Resource1,773,774,o183,,,
2425,2426,check_availability,Resource5,774,777,o183,o183-i0,,
2426,2427,check_availability,Resource6,774,775,o183,o183-i1,,
2427,2428,store_package,Resource9,774,780,o150,,o150-p1,
2428,2429,place_order,Resource1,775,776,o184,,,
2429,2430,pick_item,Resource6,775,778,o183,o183-i1,,
2430,2431,unload_package,Resource13,775,779,o177,,,o177-p1-r1
2431,2432,check_availability,Resource7,776,777,o184,o184-i0,,
2432,2433,check_availability,Resource8,776,778,o184,o184-i1,,
2433,2434,pack_items,Resource10,776,781,o160,,o160-p1,
2434,2435,place_order,Resource1,777,779,o185,,,
2435,2436,pick_item,Resource5,777,779,o183,o183-i0,,
2436,2437,pick_item,Resource7,777,779,o184,o184-i0,,
2439,2440,pick_item,Resource6,778,779,o184,o184-i1,,
2440,2441,check_availability,Resource8,778,783,o185,o185-i0,,
2441,2442,receive_payment,Resource1,779,786,o160,,,
2442,2443,place_order,Resource2,779,781,o186,,,
2443,2444,check_availability,Resource5,779,780,o185,o185-i1,,
2444,2445,end_route,Resource13,779,784,o177,,,o177-p1-r1
2445,2446,pick_item,Resource5,780,781,o185,o185-i1,,
2446,2447,check_availability,Resource6,780,782,o186,o186-i0,,
2447,2448,check_availability,Resource7,780,783,o186,o186-i1,,
2448,2449,start_route,Resource14,780,785,o177,,,o177-p1-r1
2450,2451,pick_item,Resource5,782,785,o186,o186-i0,,
2451,2452,pick_item,Resource6,783,785,o185,o185-i0,,
2452,2453,pick_item,Resource7,783,786,o186,o186-i1,,
2454,2455,place_order,Resource1,786,787,o187,,,
2455,2456,check_availability,Resource5,787,789,o187,o187-i0,,
2456,2457,check_availability,Resource6,787,788,o187,o187-i1,,
2457,2458,place_order,Resource1,788,790,o188,,,
2458,2459,pick_item,Resource6,788,790,o187,o187-i1,,
2459,2460,place_order,Resource2,789,791,o189,,,
2460,2461,pick_item,Resource5,789,790,o187,o187-i0,,
2462,2463,check_availability,Resource8,789,789,o188,o188-i1,,
2465,2466,check_availability,Resource8,790,790,o189,o189-i1,,
