,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
2043,2044,place_order,Resource2,641,642,o150,,,
2146,2147,check_availability,Resource6,673,675,o150,o150-i0,,
2147,2148,check_availability,Resource7,673,674,o150,o150-i1,,
2160,2161,place_order,Resource1,678,682,o160,,,
2249,2250,pick_item,Resource5,705,706,o150,o150-i1,,
2253,2254,pick_item,Resource5,706,707,o150,o150-i0,,
2256,2257,send_invoice,Resource1,707,713,o150,,,
2267,2268,check_availability,Resource5,710,710,o160,o160-i0,,
2268,2269,check_availability,Resource7,710,713,o160,o160-i1,,
2309,2310,place_order,Resource1,728,730,o170,,,
2335,2336,pack_items,Resource9,739,743,o150,,o150-p1,
2342,2343,pick_item,Resource7,741,744,o160,o160-i0,,
2350,2351,receive_payment,Resource2,744,750,o150,,,
2351,2352,pick_item,Resource5,744,745,o160,o160-i1,,
2352,2353,send_invoice,Resource4,745,748,o160,,,
2394,2395,check_availability,Resource5,760,763,o170,o170-i0,,
2395,2396,check_availability,Resource6,760,763,o170,o170-i1,,
2427,2428,store_package,Resource9,774,780,o150,,o150-p1,
2433,2434,pack_items,Resource10,776,781,o160,,o160-p1,
2441,2442,receive_payment,Resource1,779,786,o160,,,
2470,2471,pick_item,Resource7,794,795,o170,o170-i0,,
2471,2472,pick_item,Resource8,794,796,o170,o170-i1,,
2472,2473,place_order,Resource1,795,798,o180,,,
2473,2474,send_invoice,Resource2,796,800,o170,,,
2502,2503,place_order,Resource2,811,813,o191,,,
2506,2507,start_route,Resource13,811,815,o150,,,o150-p1-r1
2508,2509,check_availability,Resource5,812,816,o191,o191-i0,,
2509,2510,check_availability,Resource6,812,814,o191,o191-i1,,
2512,2513,store_package,Resource11,812,817,o160,,o160-p1,
2518,2519,place_order,Resource4,813,815,o193,,,
2519,2520,pick_item,Resource6,814,815,o191,o191-i1,,
2523,2524,place_order,Resource4,815,817,o194,,,
2524,2525,check_availability,Resource6,815,818,o193,o193-i0,,
2525,2526,check_availability,Resource7,815,817,o193,o193-i1,,
2529,2530,pick_item,Resource5,816,817,o191,o191-i0,,
2535,2536,check_availability,Resource5,817,819,o194,o194-i0,,
2536,2537,check_availability,Resource7,817,818,o194,o194-i1,,
2537,2538,pick_item,Resource8,817,819,o193,o193-i1,,
