,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
1629,1630,place_order,Resource1,527,531,o120,,,
1738,1739,check_availability,Resource6,559,562,o120,o120-i0,,
1739,1740,check_availability,Resource8,559,562,o120,o120-i1,,
1752,1753,place_order,Resource2,563,565,o130,,,
1856,1857,pick_item,Resource5,593,595,o120,o120-i0,,
1857,1858,pick_item,Resource8,593,596,o120,o120-i1,,
1863,1864,check_availability,Resource5,595,596,o130,o130-i0,,
1864,1865,check_availability,Resource7,595,598,o130,o130-i1,,
1868,1869,send_invoice,Resource1,596,600,o120,,,
1874,1875,place_order,Resource2,598,600,o140,,,
1995,1996,pick_item,Resource5,627,629,o130,o130-i0,,
1996,1997,pack_items,Resource9,627,631,o120,,o120-p1,
2002,2003,pick_item,Resource5,629,632,o130,o130-i1,,
2006,2007,check_availability,Resource6,630,631,o140,o140-i0,,
2009,2010,receive_payment,Resource1,631,636,o120,,,
2010,2011,check_availability,Resource6,631,632,o140,o140-i1,,
2013,2014,send_invoice,Resource2,632,637,o130,,,
2043,2044,place_order,Resource2,641,642,o150,,,
2110,2111,pick_item,Resource6,662,665,o140,o140-i0,,
2112,2113,store_package,Resource10,662,667,o120,,o120-p1,
2116,2117,pick_item,Resource5,663,666,o140,o140-i1,,
2118,2119,pack_items,Resource12,663,668,o130,,o130-p1,
2125,2126,send_invoice,Resource2,666,671,o140,,,
2135,2136,receive_payment,Resource1,668,673,o130,,,
2146,2147,check_availability,Resource6,673,675,o150,o150-i0,,
2147,2148,check_availability,Resource7,673,674,o150,o150-i1,,
2160,2161,place_order,Resource1,678,682,o160,,,
2222,2223,pack_items,Resource10,697,699,o140,,o140-p1,
2228,2229,start_route,Resource19,698,704,o120,,,o120-p1-r1
2229,2230,store_package,Resource10,699,704,o130,,o130-p1,
2241,2242,receive_payment,Resource2,702,709,o140,,,
2249,2250,pick_item,Resource5,705,706,o150,o150-i1,,
2253,2254,pick_item,Resource5,706,707,o150,o150-i0,,
2256,2257,send_invoice,Resource1,707,713,o150,,,
2267,2268,check_availability,Resource5,710,710,o160,o160-i0,,
2268,2269,check_availability,Resource7,710,713,o160,o160-i1,,
2309,2310,place_order,Resource1,728,730,o170,,,
2325,2326,store_package,Resource10,734,739,o140,,o140-p1,
2329,2330,load_package,Resource14,735,739,o120,,,o120-p1-r1
2330,2331,start_route,Resource15,735,740,o130,,,o130-p1-r1
2334,2335,place_order,Resource3,739,741,o177,,,
2335,2336,pack_items,Resource9,739,743,o150,,o150-p1,
2338,2339,check_availability,Resource5,740,742,o177,o177-i0,,
2339,2340,check_availability,Resource6,740,742,o177,o177-i1,,
2342,2343,pick_item,Resource7,741,744,o160,o160-i0,,
2346,2347,pick_item,Resource5,742,743,o177,o177-i0,,
2347,2348,pick_item,Resource6,742,743,o177,o177-i1,,
2348,2349,send_invoice,Resource1,743,748,o177,,,
2350,2351,receive_payment,Resource2,744,750,o150,,,
2351,2352,pick_item,Resource5,744,745,o160,o160-i1,,
2352,2353,send_invoice,Resource4,745,748,o160,,,
2354,2355,pack_items,Resource11,745,750,o177,,o177-p1,
2358,2359,place_order,Resource3,747,749,o178,,,
2359,2360,receive_payment,Resource1,748,751,o177,,,
2360,2361,check_availability,Resource5,748,751,o178,o178-i0,,
2361,2362,check_availability,Resource6,748,749,o178,o178-i1,,
2364,2365,pick_item,Resource6,749,751,o178,o178-i1,,
2365,2366,store_package,Resource9,750,755,o177,,o177-p1,
2367,2368,place_order,Resource1,751,754,o179,,,
2368,2369,pick_item,Resource5,751,754,o178,o178-i0,,
2372,2373,check_availability,Resource6,752,753,o179,o179-i0,,
2373,2374,check_availability,Resource7,752,753,o179,o179-i1,,
2375,2376,pick_item,Resource6,753,754,o179,o179-i0,,
2376,2377,pick_item,Resource7,753,753,o179,o179-i1,,
2378,2379,send_invoice,Resource1,754,759,o178,,,
2379,2380,send_invoice,Resource2,754,759,o179,,,
2380,2381,pack_items,Resource10,754,760,o178,,o178-p1,
2381,2382,pack_items,Resource11,754,757,o179,,o179-p1,
2385,2386,start_route,Resource20,755,760,o177,,,o177-p1-r1
2387,2388,store_package,Resource9,757,762,o179,,o179-p1,
2390,2391,receive_payment,Resource1,759,764,o178,,,
2391,2392,receive_payment,Resource2,759,766,o179,,,
2394,2395,check_availability,Resource5,760,763,o170,o170-i0,,
2395,2396,check_availability,Resource6,760,763,o170,o170-i1,,
2396,2397,store_package,Resource10,760,765,o178,,o178-p1,
2397,2398,load_package,Resource19,760,766,o177,,,o177-p1-r1
2401,2402,start_route,Resource18,762,766,o179,,,o179-p1-r1
2405,2406,place_order,Resource1,766,767,o181,,,
