,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
2309,2310,place_order,Resource1,728,730,o170,,,
2394,2395,check_availability,Resource5,760,763,o170,o170-i0,,
2395,2396,check_availability,Resource6,760,763,o170,o170-i1,,
2470,2471,pick_item,Resource7,794,795,o170,o170-i0,,
2471,2472,pick_item,Resource8,794,796,o170,o170-i1,,
2472,2473,place_order,Resource1,795,798,o180,,,
2473,2474,send_invoice,Resource2,796,800,o170,,,
2572,2573,check_availability,Resource5,827,832,o180,o180-i0,,
2573,2574,check_availability,Resource7,827,829,o180,o180-i1,,
2575,2576,pack_items,Resource9,827,832,o170,,o170-p1,
2583,2584,place_order,Resource1,830,831,o190,,,
2586,2587,receive_payment,Resource1,831,837,o170,,,
2680,2681,pick_item,Resource5,860,861,o180,o180-i1,,
2685,2686,check_availability,Resource5,862,864,o190,o190-i0,,
2686,2687,check_availability,Resource6,862,864,o190,o190-i1,,
2690,2691,pick_item,Resource7,863,864,o180,o180-i0,,
2691,2692,store_package,Resource9,863,868,o170,,o170-p1,
2694,2695,send_invoice,Resource1,864,869,o180,,,
2698,2699,place_order,Resource2,865,868,o200,,,
2760,2761,place_order,Resource2,886,888,o208,,,
2768,2769,check_availability,Resource7,888,889,o208,o208-i0,,
2769,2770,check_availability,Resource8,888,890,o208,o208-i1,,
2773,2774,pick_item,Resource8,890,894,o208,o208-i0,,
2780,2781,pick_item,Resource6,892,893,o208,o208-i1,,
2788,2789,send_invoice,Resource4,894,899,o208,,,
2790,2791,pack_items,Resource12,894,899,o208,,o208-p1,
2792,2793,pick_item,Resource5,895,897,o190,o190-i0,,
2793,2794,pick_item,Resource6,895,897,o190,o190-i1,,
2796,2797,pack_items,Resource10,896,900,o180,,o180-p1,
2797,2798,send_invoice,Resource1,897,901,o190,,,
2798,2799,check_availability,Resource5,897,901,o200,o200-i0,,
2799,2800,check_availability,Resource6,897,900,o200,o200-i1,,
2803,2804,place_order,Resource4,899,899,o211,,,
2805,2806,start_route,Resource16,899,902,o170,,,o170-p1-r1
2806,2807,receive_payment,Resource2,900,906,o180,,,
2808,2809,check_availability,Resource6,900,905,o211,o211-i0,,
2809,2810,check_availability,Resource7,900,903,o211,o211-i1,,
2810,2811,store_package,Resource10,900,907,o208,,o208-p1,
2811,2812,place_order,Resource1,901,902,o212,,,
2812,2813,receive_payment,Resource3,901,904,o208,,,
2816,2817,check_availability,Resource5,902,906,o212,o212-i0,,
2817,2818,check_availability,Resource8,902,906,o212,o212-i1,,
2820,2821,pick_item,Resource7,903,905,o211,o211-i1,,
2824,2825,pick_item,Resource6,905,907,o211,o211-i0,,
2826,2827,place_order,Resource1,906,907,o213,,,
2827,2828,pick_item,Resource5,906,908,o212,o212-i0,,
2828,2829,pick_item,Resource7,906,907,o212,o212-i1,,
2831,2832,check_availability,Resource6,907,910,o213,o213-i0,,
2832,2833,check_availability,Resource7,907,908,o213,o213-i1,,
2834,2835,start_route,Resource19,907,913,o208,,,o208-p1-r1
2835,2836,pick_item,Resource5,908,911,o213,o213-i1,,
2839,2840,pick_item,Resource6,910,913,o213,o213-i0,,
2844,2845,place_order,Resource1,913,915,o214,,,
2847,2848,load_package,Resource19,913,916,o208,,,o208-p1-r1
2848,2849,check_availability,Resource5,914,916,o214,o214-i0,,
2849,2850,check_availability,Resource6,914,918,o214,o214-i1,,
2852,2853,pick_item,Resource5,916,919,o214,o214-i0,,
2853,2854,deliver_package,Resource17,916,919,o208,,,o208-p1-r1
2855,2856,pick_item,Resource6,918,919,o214,o214-i1,,
2859,2860,place_order,Resource1,919,921,o215,,,
2860,2861,failed_delivery,Resource16,919,925,o208,,,o208-p1-r1
2861,2862,check_availability,Resource5,920,920,o215,o215-i0,,
2862,2863,check_availability,Resource6,920,922,o215,o215-i1,,
2864,2865,pick_item,Resource5,921,922,o215,o215-i0,,
2867,2868,pick_item,Resource5,922,923,o215,o215-i1,,
2869,2870,place_order,Resource1,923,924,o210,,,
2871,2872,send_invoice,Resource1,924,929,o211,,,
2872,2873,send_invoice,Resource2,924,930,o212,,,
2873,2874,send_invoice,Resource3,924,928,o213,,,
2874,2875,send_invoice,Resource4,924,931,o214,,,
2875,2876,pack_items,Resource9,924,930,o211,,o211-p1,
2876,2877,pack_items,Resource10,924,928,o212,,o212-p1,
2877,2878,pack_items,Resource11,924,929,o213,,o213-p1,
2878,2879,pack_items,Resource12,924,929,o214,,o214-p1,
2879,2880,unload_package,Resource13,925,931,o208,,,o208-p1-r1
2880,2881,send_invoice,Resource3,928,935,o215,,,
