eid,Caseid,Activity,Resource,CompleteTimestamp
1905,4507005107_00020,Vendor creates invoice,NONE,2568
11012,4507029260_00020,Vendor creates invoice,NONE,3912
12291,4507032427_00060,Vendor creates invoice,NONE,4608
13450,4507036316_00010,Create Purchase Requisition Item,batch_08,4200
13451,4507036316_00010,Create Purchase Order Item,user_142,4212
13452,4507036316_00010,Change Quantity,user_142,6634
13968,4507037470_00020,Create Purchase Order Item,user_042,4352
15452,4507041159_00010,Create Purchase Order Item,user_072,4721
15453,4507041159_00010,Vendor creates invoice,NONE,5064
16230,4508043511_00020,Vendor creates invoice,NONE,6360
16231,4508043511_00020,Create Purchase Order Item,user_043,6514
16233,4508043512_00010,Create Purchase Order Item,user_043,5009
16729,4508045056_00010,Create Purchase Order Item,user_286,5204
16866,4508045553_00010,Create Purchase Order Item,user_043,5243
16876,4508045555_00010,Create Purchase Order Item,user_043,5243
16877,4508045555_00010,Change Quantity,user_043,6635
16878,4508045555_00010,Vendor creates invoice,NONE,6648
16889,4508045565_00010,Create Purchase Order Item,user_043,5243
16892,4508045569_00010,Create Purchase Order Item,user_043,5243
17074,4508045955_00070,Create Purchase Order Item,user_286,5273
17416,4508047176_00030,Create Purchase Order Item,user_286,5438
17500,4508047538_00010,Create Purchase Order Item,user_286,5510
17597,4508047561_00230,Create Purchase Order Item,user_286,5511
17730,4508048102_00050,Create Purchase Order Item,user_286,5561
17732,4508048102_00060,Create Purchase Order Item,user_286,5561
17804,4508048287_00010,Create Purchase Order Item,user_043,5580
17811,4508048289_00010,Create Purchase Order Item,user_043,5580
17818,4508048290_00010,Create Purchase Order Item,user_043,5580
17819,4508048290_00010,Vendor creates invoice,NONE,6528
17822,4508048291_00010,Create Purchase Order Item,user_043,5580
18071,4508049530_00020,Create Purchase Order Item,user_286,5749
18087,4508049533_00100,Create Purchase Order Item,user_286,5749
18170,4508049940_00020,Create Purchase Order Item,user_068,5845
18238,4508050375_00010,Create Purchase Order Item,user_286,5873
18247,4508050378_00010,Create Purchase Order Item,user_286,5873
18274,4508050385_00010,Create Purchase Order Item,user_286,5874
18275,4508050385_00010,Change Quantity,user_286,6107
18365,4508050898_00020,Create Purchase Order Item,user_286,5921
18367,4508050898_00040,Create Purchase Order Item,user_286,5921
18369,4508050898_00050,Create Purchase Order Item,user_286,5921
18371,4508050898_00060,Create Purchase Order Item,user_286,5921
18373,4508050898_00070,Create Purchase Order Item,user_286,5921
18375,4508050898_00080,Create Purchase Order Item,user_286,5921
18377,4508050898_00090,Create Purchase Order Item,user_286,5921
18379,4508050898_00100,Create Purchase Order Item,user_286,5921
18381,4508050898_00110,Create Purchase Order Item,user_286,5921
18383,4508050898_00120,Create Purchase Order Item,user_286,5921
18385,4508050898_00130,Create Purchase Order Item,user_286,5921
18387,4508050898_00150,Create Purchase Order Item,user_286,5921
18389,4508050898_00160,Create Purchase Order Item,user_286,5921
18391,4508050898_00170,Create Purchase Order Item,user_286,5921
18393,4508050898_00180,Create Purchase Order Item,user_286,5921
18395,4508050898_00190,Create Purchase Order Item,user_286,5921
18401,4508050900_00010,Create Purchase Order Item,user_286,5921
18404,4508050900_00020,Create Purchase Order Item,user_286,5921
18407,4508050900_00030,Create Purchase Order Item,user_286,5921
18410,4508050900_00040,Create Purchase Order Item,user_286,5921
18413,4508050900_00050,Create Purchase Order Item,user_286,5921
18416,4508050900_00060,Create Purchase Order Item,user_286,5921
18419,4508050900_00070,Create Purchase Order Item,user_286,5921
18422,4508050900_00080,Create Purchase Order Item,user_286,5921
18587,4508051527_00010,Create Purchase Order Item,user_043,6016
18622,4508051782_00020,Create Purchase Order Item,batch_02,6041
18623,4508051782_00020,Vendor creates invoice,NONE,6648
18625,4508051786_00010,Create Purchase Order Item,user_286,6041
18657,4508051791_00020,Create Purchase Order Item,user_286,6041
18658,4508051791_00020,Change Quantity,user_286,6058
18660,4508051792_00010,Create Purchase Order Item,user_286,6041
18663,4508051792_00020,Create Purchase Order Item,user_286,6041
18667,4508051792_00030,Create Purchase Order Item,user_286,6041
18670,4508051792_00040,Create Purchase Order Item,user_286,6041
18675,4508051792_00050,Create Purchase Order Item,user_286,6041
18677,4508051792_00060,Create Purchase Order Item,user_286,6041
18680,4508051792_00070,Create Purchase Order Item,user_286,6041
18753,4508052052_00010,Create Purchase Order Item,user_286,6063
18756,4508052064_00010,Create Purchase Order Item,user_079,6063
18758,4508052064_00020,Create Purchase Order Item,user_079,6063
18764,4508052083_00030,Vendor creates invoice,NONE,6408
18778,4508052186_00010,Create Purchase Order Item,batch_02,6082
18779,4508052186_00010,Vendor creates invoice,NONE,6648
18850,4508052329_00010,Create Purchase Order Item,user_079,6086
18856,4508052339_00020,Create Purchase Order Item,user_387,6086
18857,4508052339_00020,Vendor creates invoice,NONE,6432
18858,4508052339_00020,Change Quantity,user_387,6440
18901,4508052396_00060,Create Purchase Order Item,user_286,6089
18913,4508052401_00010,Create Purchase Order Item,user_286,6089
