,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
2724,2725,place_order,Resource1,732,736,o200,,,
2832,2833,check_availability,Resource5,764,766,o200,o200-i0,,
2833,2834,check_availability,Resource6,764,766,o200,o200-i1,,
2861,2862,place_order,Resource1,773,777,o210,,,
2943,2944,pick_item,Resource5,797,798,o200,o200-i0,,
2944,2945,pick_item,Resource6,797,800,o200,o200-i1,,
2952,2953,send_invoice,Resource3,800,805,o200,,,
2974,2975,place_order,Resource3,805,807,o220,,,
2976,2977,check_availability,Resource6,805,808,o210,o210-i0,,
2981,2982,check_availability,Resource8,806,810,o210,o210-i1,,
3026,3027,receive_payment,Resource1,817,824,o200,,,
3029,3030,pack_items,Resource10,817,821,o200,,o200-p1,
3034,3035,place_order,Resource4,819,822,o231,,,
3036,3037,place_order,Resource3,820,821,o232,,,
3037,3038,check_availability,Resource5,820,822,o231,o231-i0,,
3038,3039,check_availability,Resource6,820,821,o231,o231-i1,,
3045,3046,place_order,Resource3,821,824,o233,,,
3046,3047,pick_item,Resource6,821,822,o231,o231-i1,,
3047,3048,check_availability,Resource7,821,824,o232,o232-i0,,
3048,3049,check_availability,Resource8,821,822,o232,o232-i1,,
3049,3050,store_package,Resource10,821,825,o200,,o200-p1,
3051,3052,place_order,Resource4,822,825,o234,,,
3052,3053,pick_item,Resource5,822,825,o231,o231-i0,,
3053,3054,pick_item,Resource6,822,824,o232,o232-i1,,
3054,3055,check_availability,Resource8,822,824,o233,o233-i0,,
3060,3061,check_availability,Resource6,824,824,o233,o233-i1,,
3061,3062,check_availability,Resource7,824,827,o234,o234-i0,,
3062,3063,check_availability,Resource8,824,825,o234,o234-i1,,
3065,3066,place_order,Resource4,825,827,o235,,,
3066,3067,pick_item,Resource5,825,828,o232,o232-i0,,
3067,3068,pick_item,Resource6,825,828,o233,o233-i0,,
3068,3069,pick_item,Resource8,825,827,o233,o233-i1,,
3071,3072,start_route,Resource15,825,830,o200,,,o200-p1-r1
3077,3078,pick_item,Resource7,827,829,o234,o234-i1,,
3078,3079,check_availability,Resource8,827,830,o235,o235-i0,,
3080,3081,place_order,Resource2,828,832,o236,,,
3081,3082,check_availability,Resource5,828,829,o235,o235-i1,,
3082,3083,pick_item,Resource6,828,831,o234,o234-i0,,
3084,3085,pick_item,Resource5,829,833,o235,o235-i1,,
3085,3086,check_availability,Resource7,829,832,o236,o236-i0,,
3090,3091,check_availability,Resource8,830,832,o236,o236-i1,,
3091,3092,load_package,Resource14,830,834,o200,,,o200-p1-r1
3095,3096,pick_item,Resource6,831,834,o235,o235-i0,,
3098,3099,pick_item,Resource7,832,834,o236,o236-i0,,
3099,3100,pick_item,Resource8,832,833,o236,o236-i1,,
3103,3104,deliver_package,Resource13,834,838,o200,,,o200-p1-r1
3105,3106,place_order,Resource1,835,838,o237,,,
3110,3111,check_availability,Resource5,836,839,o237,o237-i0,,
3111,3112,check_availability,Resource6,836,837,o237,o237-i1,,
3113,3114,check_availability,Resource6,837,840,o220,o220-i0,,
3114,3115,check_availability,Resource7,837,838,o220,o220-i1,,
3115,3116,pick_item,Resource8,837,838,o237,o237-i1,,
3116,3117,place_order,Resource1,838,841,o230,,,
3117,3118,failed_delivery,Resource13,838,844,o200,,,o200-p1-r1
3119,3120,send_invoice,Resource2,839,845,o232,,,
3120,3121,send_invoice,Resource3,839,844,o231,,,
3121,3122,send_invoice,Resource4,839,843,o233,,,
3122,3123,pick_item,Resource5,839,842,o210,o210-i0,,
3123,3124,pick_item,Resource7,839,839,o237,o237-i0,,
3124,3125,pack_items,Resource9,839,844,o231,,o231-p1,
3125,3126,pack_items,Resource10,839,845,o232,,o232-p1,
3126,3127,pack_items,Resource11,839,844,o233,,o233-p1,
3127,3128,pack_items,Resource12,839,845,o234,,o234-p1,
3132,3133,send_invoice,Resource1,841,846,o234,,,
3133,3134,pick_item,Resource6,841,843,o210,o210-i1,,
3137,3138,send_invoice,Resource4,843,849,o210,,,
3138,3139,send_invoice,Resource3,844,851,o235,,,
3139,3140,pack_items,Resource9,844,849,o235,,o235-p1,
3140,3141,pack_items,Resource11,844,849,o236,,o236-p1,
3141,3142,unload_package,Resource13,844,851,o200,,,o200-p1-r1
3144,3145,send_invoice,Resource2,845,851,o236,,,
3145,3146,pack_items,Resource10,845,851,o237,,o237-p1,
3146,3147,store_package,Resource12,845,850,o231,,o231-p1,
3150,3151,place_order,Resource1,846,849,o238,,,
3151,3152,check_availability,Resource5,847,850,o238,o238-i0,,
3152,3153,check_availability,Resource6,847,848,o238,o238-i1,,
3154,3155,pick_item,Resource6,848,851,o238,o238-i1,,
3157,3158,place_order,Resource4,849,851,o239,,,
3158,3159,store_package,Resource9,849,854,o233,,o233-p1,
3159,3160,store_package,Resource11,849,853,o232,,o232-p1,
3163,3164,pick_item,Resource5,850,854,o238,o238-i0,,
3164,3165,check_availability,Resource7,850,852,o239,o239-i0,,
3165,3166,check_availability,Resource8,850,852,o239,o239-i1,,
3166,3167,store_package,Resource12,850,855,o234,,o234-p1,
3168,3169,start_route,Resource20,850,856,o231,,,o231-p1-r1
3169,3170,send_invoice,Resource2,851,858,o237,,,
3170,3171,place_order,Resource3,851,854,o241,,,
3171,3172,place_order,Resource4,851,851,o242,,,
3172,3173,store_package,Resource10,851,858,o235,,o235-p1,
3173,3174,end_route,Resource13,851,857,o200,,,o200-p1-r1
3175,3176,receive_payment,Resource4,852,859,o233,,,
3176,3177,pick_item,Resource6,852,854,o239,o239-i0,,
3177,3178,pick_item,Resource7,852,852,o239,o239-i1,,
3178,3179,check_availability,Resource8,852,854,o241,o241-i0,,
3179,3180,check_availability,Resource7,853,856,o241,o241-i1,,
3180,3181,store_package,Resource11,853,859,o236,,o236-p1,
