,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
2049,2050,place_order,Resource2,560,563,o150,,,
2185,2186,check_availability,Resource7,592,593,o150,o150-i0,,
2190,2191,check_availability,Resource6,593,597,o150,o150-i1,,
2199,2200,place_order,Resource1,595,597,o160,,,
2244,2245,place_order,Resource1,609,613,o171,,,
2249,2250,check_availability,Resource7,610,611,o171,o171-i0,,
2250,2251,check_availability,Resource8,610,613,o171,o171-i1,,
2254,2255,pick_item,Resource7,611,614,o171,o171-i0,,
2258,2259,place_order,Resource2,612,615,o172,,,
2267,2268,pick_item,Resource6,613,615,o171,o171-i1,,
2268,2269,check_availability,Resource8,613,615,o172,o172-i0,,
2269,2270,check_availability,Resource5,614,617,o172,o172-i1,,
2270,2271,place_order,Resource2,615,618,o173,,,
2271,2272,pick_item,Resource6,615,618,o172,o172-i0,,
2276,2277,place_order,Resource3,616,619,o174,,,
2278,2279,check_availability,Resource7,616,619,o173,o173-i0,,
2279,2280,check_availability,Resource8,616,618,o173,o173-i1,,
2282,2283,pick_item,Resource5,617,619,o172,o172-i1,,
2288,2289,place_order,Resource2,618,621,o175,,,
2289,2290,check_availability,Resource6,618,619,o174,o174-i0,,
2290,2291,check_availability,Resource8,618,620,o174,o174-i1,,
2292,2293,place_order,Resource3,619,621,o176,,,
2293,2294,pick_item,Resource5,619,620,o173,o173-i1,,
2294,2295,pick_item,Resource6,619,622,o173,o173-i0,,
2295,2296,pick_item,Resource7,619,620,o174,o174-i0,,
2296,2297,pick_item,Resource5,620,623,o175,o175-i0,,
2297,2298,check_availability,Resource7,620,621,o175,o175-i1,,
2298,2299,pick_item,Resource8,620,621,o174,o174-i1,,
2303,2304,place_order,Resource3,621,623,o177,,,
2304,2305,check_availability,Resource7,621,624,o176,o176-i0,,
2305,2306,check_availability,Resource8,621,622,o176,o176-i1,,
2309,2310,pick_item,Resource6,622,623,o175,o175-i1,,
2310,2311,pick_item,Resource8,622,625,o176,o176-i1,,
2316,2317,check_availability,Resource5,623,624,o177,o177-i0,,
2317,2318,check_availability,Resource6,623,626,o177,o177-i1,,
2318,2319,pick_item,Resource5,624,628,o150,o150-i0,,
2319,2320,pick_item,Resource7,624,627,o176,o176-i0,,
2321,2322,pick_item,Resource8,625,628,o177,o177-i0,,
2326,2327,pick_item,Resource6,626,627,o177,o177-i1,,
2329,2330,place_order,Resource4,627,631,o178,,,
2330,2331,check_availability,Resource6,627,628,o160,o160-i0,,
2331,2332,check_availability,Resource7,627,629,o160,o160-i1,,
2333,2334,place_order,Resource2,628,631,o170,,,
2334,2335,pick_item,Resource5,628,629,o150,o150-i1,,
2335,2336,check_availability,Resource6,628,630,o178,o178-i0,,
2336,2337,check_availability,Resource8,628,631,o178,o178-i1,,
2339,2340,send_invoice,Resource3,629,636,o150,,,
2340,2341,pack_items,Resource9,629,634,o171,,o171-p1,
2341,2342,pack_items,Resource10,629,633,o172,,o172-p1,
2342,2343,pack_items,Resource11,629,634,o173,,o173-p1,
2343,2344,pack_items,Resource12,629,634,o174,,o174-p1,
2344,2345,pick_item,Resource5,630,632,o178,o178-i0,,
2346,2347,send_invoice,Resource2,631,636,o171,,,
2347,2348,send_invoice,Resource4,631,635,o172,,,
2348,2349,pick_item,Resource6,631,634,o178,o178-i1,,
2352,2353,send_invoice,Resource1,632,637,o173,,,
2353,2354,pack_items,Resource10,633,638,o175,,o175-p1,
2356,2357,pack_items,Resource9,634,640,o176,,o176-p1,
2357,2358,pack_items,Resource11,634,640,o177,,o177-p1,
2358,2359,store_package,Resource12,634,640,o172,,o172-p1,
2359,2360,send_invoice,Resource4,635,641,o174,,,
2362,2363,send_invoice,Resource2,636,642,o175,,,
2363,2364,send_invoice,Resource3,636,642,o176,,,
2364,2365,place_order,Resource1,637,640,o179,,,
2366,2367,check_availability,Resource5,638,641,o179,o179-i0,,
2367,2368,check_availability,Resource6,638,639,o179,o179-i1,,
2368,2369,store_package,Resource10,638,644,o171,,o171-p1,
2369,2370,pick_item,Resource6,639,643,o179,o179-i1,,
2370,2371,send_invoice,Resource1,640,646,o177,,,
2371,2372,store_package,Resource9,640,644,o173,,o173-p1,
2372,2373,store_package,Resource11,640,645,o174,,o174-p1,
2373,2374,pack_items,Resource12,640,646,o178,,o178-p1,
2375,2376,start_route,Resource15,640,646,o172,,,o172-p1-r1
2377,2378,pick_item,Resource5,641,643,o179,o179-i0,,
2378,2379,place_order,Resource2,642,644,o181,,,
2379,2380,place_order,Resource3,642,642,o182,,,
2381,2382,check_availability,Resource5,643,644,o181,o181-i0,,
2382,2383,check_availability,Resource6,643,645,o181,o181-i1,,
2383,2384,check_availability,Resource7,643,644,o182,o182-i0,,
2384,2385,check_availability,Resource8,643,646,o182,o182-i1,,
2386,2387,place_order,Resource2,644,645,o183,,,
2387,2388,pick_item,Resource5,644,646,o181,o181-i0,,
2388,2389,pick_item,Resource7,644,647,o182,o182-i0,,
2394,2395,pick_item,Resource6,645,646,o181,o181-i1,,
