1	place_order	Resource1	1	o1	null	null	null

2	check_availability	Resource5	3	o1	o1-i0	null	null

3	check_availability	Resource6	4	o1	o1-i1	null	null

4	pick_item	Resource5	6	o1	o1-i0	null	null

5	pick_item	Resource6	8	o1	o1-i1	null	null

6	send_invoice	Resource1	14	o1	null	null	null

7	pack_items	Resource9	12	o1	null	o1-p1	null

8	place_order	Resource2	13	o2	null	null	null

9	store_package	Resource9	15	o1	null	o1-p1	null

10	check_availability	Resource5	18	o2	o2-i0	null	null

11	check_availability	Resource6	17	o2	o2-i1	null	null

12	receive_payment	Resource1	19	o1	null	null	null

13	start_route	Resource13	20	o1	null	null	o1-p1-r1

14	place_order	Resource2	17	o3	null	null	null

15	place_order	Resource2	17	o4	null	null	null

16	pick_item	Resource6	23	o2	o2-i1	null	null

17	check_availability	Resource7	23	o3	o3-i0	null	null

18	check_availability	Resource8	22	o3	o3-i1	null	null

19	pick_item	Resource5	22	o2	o2-i0	null	null

20	place_order	Resource1	22	o5	null	null	null

21	load_package	Resource13	26	o1	null	null	o1-p1-r1

22	check_availability	Resource5	26	o4	o4-i0	null	null

23	check_availability	Resource8	28	o4	o4-i1	null	null

24	send_invoice	Resource1	27	o2	null	null	null

25	place_order	Resource2	23	o6	null	null	null

26	check_availability	Resource6	28	o5	o5-i0	null	null

27	check_availability	Resource7	27	o5	o5-i1	null	null

28	pack_items	Resource9	28	o2	null	o2-p1	null

29	place_order	Resource2	24	o7	null	null	null

30	place_order	Resource2	27	o8	null	null	null

31	pick_item	Resource5	30	o3	o3-i1	null	null

32	deliver_package	Resource13	33	o1	null	null	o1-p1-r1

33	receive_payment	Resource1	32	o2	null	null	null

34	pick_item	Resource7	33	o3	o3-i0	null	null

35	check_availability	Resource6	33	o6	o6-i0	null	null

36	check_availability	Resource8	33	o6	o6-i1	null	null

37	store_package	Resource9	33	o2	null	o2-p1	null

38	place_order	Resource2	31	o9	null	null	null

39	check_availability	Resource5	36	o7	o7-i0	null	null

40	send_invoice	Resource1	37	o3	null	null	null

41	check_availability	Resource6	36	o7	o7-i1	null	null

42	pick_item	Resource7	39	o4	o4-i0	null	null

43	pick_item	Resource8	38	o5	o5-i1	null	null

44	pack_items	Resource9	39	o3	null	o3-p1	null

45	end_route	Resource13	40	o1	null	null	o1-p1-r1

46	start_route	Resource14	37	o2	null	null	o2-p1-r1

47	place_order	Resource2	34	o10	null	null	null

48	place_order	Resource2	35	o11	null	null	null

49	check_availability	Resource5	42	o8	o8-i0	null	null

50	check_availability	Resource6	40	o8	o8-i1	null	null

51	receive_payment	Resource1	41	o3	null	null	null

52	load_package	Resource14	40	o2	null	null	o2-p1-r1

53	place_order	Resource2	37	o12	null	null	null

54	pick_item	Resource8	42	o4	o4-i1	null	null

55	pick_item	Resource7	45	o5	o5-i0	null	null

56	store_package	Resource9	43	o3	null	o3-p1	null

57	check_availability	Resource6	46	o9	o9-i0	null	null

58	deliver_package	Resource13	44	o2	null	null	o2-p1-r1

59	send_invoice	Resource1	48	o4	null	null	null

60	check_availability	Resource5	45	o9	o9-i1	null	null

61	pick_item	Resource8	45	o6	o6-i0	null	null

62	pack_items	Resource10	45	o4	null	o4-p1	null

63	start_route	Resource14	46	o3	null	null	o3-p1-r1

64	end_route	Resource13	50	o2	null	null	o2-p1-r1

65	send_invoice	Resource2	50	o5	null	null	null

66	pick_item	Resource5	50	o6	o6-i1	null	null

67	check_availability	Resource7	49	o10	o10-i0	null	null

68	check_availability	Resource8	49	o10	o10-i1	null	null

69	store_package	Resource9	51	o4	null	o4-p1	null

70	pack_items	Resource10	48	o5	null	o5-p1	null

71	pick_item	Resource6	51	o7	o7-i0	null	null

72	load_package	Resource14	50	o3	null	null	o3-p1-r1

73	place_order	Resource3	48	o13	null	null	null

74	receive_payment	Resource1	53	o4	null	null	null

75	store_package	Resource10	52	o5	null	o5-p1	null

76	pick_item	Resource7	54	o7	o7-i1	null	null

77	check_availability	Resource8	56	o11	o11-i0	null	null

78	send_invoice	Resource2	56	o6	null	null	null

79	receive_payment	Resource3	54	o5	null	null	null

80	check_availability	Resource5	56	o11	o11-i1	null	null

81	pack_items	Resource11	56	o6	null	o6-p1	null

82	deliver_package	Resource13	56	o3	null	null	o3-p1-r1

83	check_availability	Resource6	56	o12	o12-i0	null	null

