,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
2049,2050,place_order,Resource2,560,563,o150,,,
2185,2186,check_availability,Resource7,592,593,o150,o150-i0,,
2190,2191,check_availability,Resource6,593,597,o150,o150-i1,,
2199,2200,place_order,Resource1,595,597,o160,,,
2318,2319,pick_item,Resource5,624,628,o150,o150-i0,,
2330,2331,check_availability,Resource6,627,628,o160,o160-i0,,
2331,2332,check_availability,Resource7,627,629,o160,o160-i1,,
2333,2334,place_order,Resource2,628,631,o170,,,
2334,2335,pick_item,Resource5,628,629,o150,o150-i1,,
2339,2340,send_invoice,Resource3,629,636,o150,,,
2378,2379,place_order,Resource2,642,644,o181,,,
2379,2380,place_order,Resource3,642,642,o182,,,
2381,2382,check_availability,Resource5,643,644,o181,o181-i0,,
2382,2383,check_availability,Resource6,643,645,o181,o181-i1,,
2383,2384,check_availability,Resource7,643,644,o182,o182-i0,,
2384,2385,check_availability,Resource8,643,646,o182,o182-i1,,
2386,2387,place_order,Resource2,644,645,o183,,,
2387,2388,pick_item,Resource5,644,646,o181,o181-i0,,
2388,2389,pick_item,Resource7,644,647,o182,o182-i0,,
2393,2394,place_order,Resource2,645,648,o184,,,
2394,2395,pick_item,Resource6,645,646,o181,o181-i1,,
2398,2399,check_availability,Resource5,646,649,o183,o183-i0,,
2399,2400,check_availability,Resource6,646,650,o183,o183-i1,,
2400,2401,pick_item,Resource8,646,648,o182,o182-i1,,
2403,2404,check_availability,Resource7,647,649,o184,o184-i0,,
2405,2406,place_order,Resource4,648,651,o185,,,
2406,2407,check_availability,Resource8,648,649,o184,o184-i1,,
2410,2411,receive_payment,Resource3,649,654,o150,,,
2411,2412,pick_item,Resource5,649,652,o183,o183-i0,,
2412,2413,pick_item,Resource7,649,651,o184,o184-i0,,
2413,2414,pick_item,Resource8,649,651,o184,o184-i1,,
2414,2415,pack_items,Resource9,649,655,o150,,o150-p1,
2417,2418,check_availability,Resource6,650,653,o185,o185-i0,,
2421,2422,check_availability,Resource7,651,653,o185,o185-i1,,
2422,2423,pick_item,Resource8,651,655,o183,o183-i1,,
2425,2426,place_order,Resource1,652,656,o186,,,
2428,2429,pick_item,Resource5,653,657,o185,o185-i0,,
2429,2430,pick_item,Resource6,653,655,o185,o185-i1,,
2430,2431,check_availability,Resource7,653,658,o186,o186-i0,,
2434,2435,place_order,Resource3,654,656,o187,,,
2437,2438,check_availability,Resource6,655,658,o186,o186-i1,,
2438,2439,check_availability,Resource8,655,656,o187,o187-i0,,
2439,2440,store_package,Resource9,655,661,o150,,o150-p1,
2443,2444,place_order,Resource3,656,659,o188,,,
2444,2445,check_availability,Resource8,656,658,o187,o187-i1,,
2446,2447,pick_item,Resource5,657,660,o187,o187-i0,,
2449,2450,place_order,Resource4,658,661,o180,,,
2450,2451,check_availability,Resource6,658,659,o188,o188-i0,,
2451,2452,check_availability,Resource7,658,660,o188,o188-i1,,
2452,2453,pick_item,Resource8,658,661,o186,o186-i0,,
2457,2458,pick_item,Resource6,659,662,o160,o160-i0,,
2458,2459,pack_items,Resource10,659,664,o181,,o181-p1,
2459,2460,pack_items,Resource11,659,664,o182,,o182-p1,
2460,2461,pack_items,Resource12,659,662,o183,,o183-p1,
2462,2463,pick_item,Resource5,660,663,o160,o160-i1,,
2463,2464,check_availability,Resource7,660,661,o170,o170-i0,,
2467,2468,send_invoice,Resource4,661,668,o182,,,
2468,2469,check_availability,Resource7,661,663,o170,o170-i1,,
2469,2470,pick_item,Resource8,661,662,o186,o186-i1,,
2470,2471,pack_items,Resource9,661,665,o184,,o184-p1,
2471,2472,start_route,Resource20,661,667,o150,,,o150-p1-r1
2472,2473,send_invoice,Resource1,662,668,o181,,,
2473,2474,pick_item,Resource6,662,662,o187,o187-i1,,
2474,2475,pick_item,Resource8,662,663,o188,o188-i0,,
2475,2476,pack_items,Resource12,662,665,o185,,o185-p1,
2477,2478,pick_item,Resource5,663,665,o188,o188-i1,,
2480,2481,send_invoice,Resource3,664,669,o160,,,
2481,2482,store_package,Resource10,664,669,o183,,o183-p1,
2482,2483,pack_items,Resource11,664,670,o186,,o186-p1,
2484,2485,pack_items,Resource9,665,670,o187,,o187-p1,
2485,2486,store_package,Resource12,665,669,o181,,o181-p1,
2499,2500,check_availability,Resource6,670,671,o189,o189-i1,,
