eid,Caseid,Activity,Resource,CompleteTimestamp
1905,4507005107_00020,Vendor creates invoice,NONE,2568
11012,4507029260_00020,Vendor creates invoice,NONE,3912
12291,4507032427_00060,Vendor creates invoice,NONE,4608
13968,4507037470_00020,Create Purchase Order Item,user_042,4352
16889,4508045565_00010,Create Purchase Order Item,user_043,5243
16890,4508045565_00010,Vendor creates invoice,NONE,7392
17416,4508047176_00030,Create Purchase Order Item,user_286,5438
18170,4508049940_00020,Create Purchase Order Item,user_068,5845
19087,4508053273_00020,Create Purchase Order Item,user_286,6185
19088,4508053273_00020,Vendor creates invoice,NONE,7368
19110,4508053511_00090,Create Purchase Order Item,user_216,6206
19433,4508054309_00010,Create Purchase Requisition Item,user_486,6240
19434,4508054309_00010,Create Purchase Order Item,user_043,6278
19811,4508055740_00010,Create Purchase Requisition Item,batch_08,6432
19812,4508055740_00010,Create Purchase Order Item,user_286,6448
19893,4508055869_00070,Create Purchase Requisition Item,batch_08,6504
19894,4508055869_00070,Create Purchase Order Item,user_079,6514
19896,4508055869_00080,Create Purchase Requisition Item,batch_08,6504
19897,4508055869_00080,Create Purchase Order Item,user_079,6514
19953,4508056095_00010,Create Purchase Order Item,user_288,6519
19954,4508056095_00010,Vendor creates invoice,NONE,7296
20037,4508056385_00020,Create Purchase Order Item,user_387,6559
20038,4508056385_00020,Vendor creates invoice,NONE,7416
20262,4508057010_00030,Create Purchase Order Item,user_286,6610
20417,4508057808_00010,Create Purchase Requisition Item,batch_17,6720
20418,4508057808_00010,Create Purchase Order Item,user_325,6729
20419,4508057808_00010,Vendor creates invoice,NONE,7272
20438,4508057937_00010,Create Purchase Requisition Item,user_091,6720
20439,4508057937_00010,Create Purchase Order Item,user_091,6735
20440,4508057937_00010,Vendor creates invoice,NONE,7104
20460,4508057940_00070,Create Purchase Requisition Item,batch_08,6720
20461,4508057940_00070,Create Purchase Order Item,user_286,6735
20462,4508057940_00070,Vendor creates invoice,NONE,7416
20464,4508057940_00080,Create Purchase Requisition Item,batch_08,6720
20465,4508057940_00080,Create Purchase Order Item,user_286,6735
20466,4508057940_00080,Vendor creates invoice,NONE,7416
20493,4508057949_00010,Create Purchase Order Item,user_286,6735
20499,4508057971_00010,Create Purchase Requisition Item,batch_08,6720
20500,4508057971_00010,Create Purchase Order Item,user_286,6736
20505,4508057976_00010,Create Purchase Requisition Item,user_286,6720
20506,4508057976_00010,Create Purchase Order Item,user_286,6736
20522,4508058068_00060,Create Purchase Order Item,user_079,6753
20533,4508058111_00010,Create Purchase Requisition Item,batch_08,6744
20534,4508058111_00010,Create Purchase Order Item,user_178,6754
20535,4508058111_00010,Change Quantity,user_178,6756
20736,4508058579_00010,Create Purchase Order Item,user_079,6784
20760,4508058633_00050,Create Purchase Requisition Item,user_451,6816
20761,4508058633_00050,Create Purchase Order Item,user_038,6848
20812,4508058863_00010,Create Purchase Requisition Item,user_421,6840
20813,4508058863_00010,Create Purchase Order Item,user_102,6853
20816,4508058869_00010,Create Purchase Requisition Item,batch_08,6840
20817,4508058869_00010,Create Purchase Order Item,user_142,6853
20820,4508058874_00010,Create Purchase Requisition Item,batch_08,6840
20821,4508058874_00010,Create Purchase Order Item,user_102,6854
20826,4508058892_00030,Create Purchase Requisition Item,batch_08,6840
20827,4508058892_00030,Create Purchase Order Item,user_079,6855
20830,4508058904_00010,Create Purchase Order Item,user_072,6855
20834,4508058905_00010,Create Purchase Order Item,user_142,6855
20842,4508059067_00010,Create Purchase Requisition Item,user_481,6864
20843,4508059067_00010,Create Purchase Order Item,user_068,6874
20844,4508059067_00010,Change Quantity,user_068,7095
20845,4508059067_00010,Change Quantity,user_068,7257
20846,4508059067_00010,Change Quantity,user_068,7382
20848,4508059067_00020,Create Purchase Requisition Item,batch_16,6864
20849,4508059067_00020,Create Purchase Order Item,user_068,6874
20852,4508059067_00030,Create Purchase Requisition Item,batch_16,6864
20853,4508059067_00030,Create Purchase Order Item,user_068,6874
20856,4508059067_00040,Create Purchase Order Item,user_068,7382
20859,4508059082_00010,Create Purchase Order Item,user_286,6875
20911,4508059143_00010,Create Purchase Requisition Item,user_091,6864
20912,4508059143_00010,Create Purchase Order Item,user_091,6878
20913,4508059143_00010,Vendor creates invoice,NONE,7392
20915,4508059150_00010,Create Purchase Requisition Item,user_091,6864
20916,4508059150_00010,Create Purchase Order Item,user_091,6879
20917,4508059150_00010,Vendor creates invoice,NONE,7272
20919,4508059151_00010,Create Purchase Requisition Item,user_091,6864
20920,4508059151_00010,Create Purchase Order Item,user_091,6879
20968,4508059312_00010,Create Purchase Requisition Item,batch_17,6888
20969,4508059312_00010,Create Purchase Order Item,user_325,6897
20972,4508059317_00010,Create Purchase Requisition Item,user_486,6888
20973,4508059317_00010,Create Purchase Order Item,user_043,6897
20974,4508059317_00010,Change Quantity,user_043,7383
20975,4508059317_00010,Vendor creates invoice,NONE,7392
20977,4508059318_00010,Create Purchase Requisition Item,batch_08,6888
